2, 8, 14 ,1.900, 1.000,    0.203, 0.382, 0.261, 0.262,    0.000
2, 8, 14 ,1.900, 1.150,    0.195, 0.364, 0.227, 0.274,    0.047
2, 8, 14 ,1.900, 1.300,    0.175, 0.321, 0.191, 0.234,    0.044
2, 8, 14 ,1.900, 1.450,    0.151, 0.279, 0.168, 0.206,    0.038
2, 8, 14 ,1.900, 1.600,    0.138, 0.261, 0.149, 0.195,    0.045
2, 8, 14 ,1.900, 1.750,    0.134, 0.253, 0.136, 0.197,    0.061
2, 8, 14 ,2.100, 1.000,    0.234, 0.403, 0.291, 0.279,    -0.012
2, 8, 14 ,2.100, 1.150,    0.227, 0.402, 0.270, 0.280,    0.010
2, 8, 14 ,2.100, 1.300,    0.208, 0.383, 0.242, 0.286,    0.045
2, 8, 14 ,2.100, 1.450,    0.189, 0.338, 0.200, 0.245,    0.045
2, 8, 14 ,2.100, 1.600,    0.165, 0.303, 0.177, 0.224,    0.047
2, 8, 14 ,2.100, 1.750,    0.152, 0.283, 0.160, 0.210,    0.050
2, 8, 14 ,2.300, 1.000,    0.279, 0.421, 0.343, 0.325,    -0.017
2, 8, 14 ,2.300, 1.150,    0.254, 0.426, 0.317, 0.292,    -0.025
2, 8, 14 ,2.300, 1.300,    0.255, 0.433, 0.300, 0.305,    0.004
2, 8, 14 ,2.300, 1.450,    0.238, 0.413, 0.275, 0.303,    0.028
2, 8, 14 ,2.300, 1.600,    0.221, 0.376, 0.234, 0.273,    0.039
2, 8, 14 ,2.300, 1.750,    0.201, 0.344, 0.208, 0.250,    0.042
2, 8, 14 ,2.500, 1.000,    0.290, 0.431, 0.384, 0.353,    -0.031
2, 8, 14 ,2.500, 1.150,    0.277, 0.441, 0.361, 0.352,    -0.009
2, 8, 14 ,2.500, 1.300,    0.259, 0.446, 0.337, 0.329,    -0.008
2, 8, 14 ,2.500, 1.450,    0.259, 0.447, 0.327, 0.341,    0.014
2, 8, 14 ,2.500, 1.600,    0.254, 0.428, 0.301, 0.332,    0.031
2, 8, 14 ,2.500, 1.750,    0.246, 0.395, 0.267, 0.304,    0.037
2, 8, 14 ,2.700, 1.000,    0.326, 0.460, 0.431, 0.355,    -0.077
2, 8, 14 ,2.700, 1.150,    0.299, 0.452, 0.391, 0.368,    -0.024
2, 8, 14 ,2.700, 1.300,    0.291, 0.453, 0.370, 0.372,    0.002
2, 8, 14 ,2.700, 1.450,    0.283, 0.460, 0.346, 0.374,    0.028
2, 8, 14 ,2.700, 1.600,    0.277, 0.466, 0.348, 0.378,    0.030
2, 8, 14 ,2.700, 1.750,    0.271, 0.444, 0.312, 0.364,    0.052
2, 8, 14 ,2.900, 1.000,    0.328, 0.457, 0.437, 0.364,    -0.073
2, 8, 14 ,2.900, 1.150,    0.318, 0.453, 0.423, 0.369,    -0.054
2, 8, 14 ,2.900, 1.300,    0.316, 0.466, 0.411, 0.369,    -0.042
2, 8, 14 ,2.900, 1.450,    0.294, 0.462, 0.379, 0.374,    -0.005
2, 8, 14 ,2.900, 1.600,    0.295, 0.469, 0.364, 0.385,    0.020
2, 8, 14 ,2.900, 1.750,    0.291, 0.472, 0.351, 0.398,    0.047
2, 8, 14 ,3.100, 1.000,    0.321, 0.449, 0.437, 0.363,    -0.074
2, 8, 14 ,3.100, 1.150,    0.335, 0.464, 0.443, 0.360,    -0.083
2, 8, 14 ,3.100, 1.300,    0.311, 0.466, 0.427, 0.374,    -0.053
2, 8, 14 ,3.100, 1.450,    0.309, 0.469, 0.414, 0.370,    -0.043
2, 8, 14 ,3.100, 1.600,    0.288, 0.459, 0.384, 0.369,    -0.016
