Loading Images
Loaded
2, 21, 44, 2.310, 2.210, 0.294, 0.161,   -0.133
2, 29, 43, 1.389, 2.144, 0.341, 0.086,   -0.255
2, 27, 44, 4.040, 1.524, 0.366, 0.239,   -0.127
1, 38, 41, 1.618, 0.940, 0.507, 0.142,   -0.366
2, 19, 31, 2.191, 3.138, 0.229, 0.142,   -0.087
2, 30, 33, 1.052, 1.950, 0.381, 0.075,   -0.305
1, 4, 12, 5.850, 0.817, 0.451, 0.382,   -0.069
2, 25, 46, 3.259, 0.982, 0.386, 0.241,   -0.145
2, 27, 35, 3.205, 1.681, 0.308, 0.204,   -0.104
2, 33, 44, 2.155, 1.962, 0.310, 0.107,   -0.203
1, 26, 29, 1.125, 1.657, 0.447, 0.102,   -0.345
2, 7, 31, 2.698, 7.314, 0.326, 0.284,   -0.042
2, 10, 37, 4.110, 1.385, 0.419, 0.313,   -0.106
1, 27, 44, 1.647, 2.992, 0.541, 0.153,   -0.388
1, 34, 41, 1.588, 0.924, 0.485, 0.181,   -0.304
1, 27, 45, 2.070, 3.140, 0.544, 0.214,   -0.331
2, 9, 44, 1.114, 6.524, 0.309, 0.162,   -0.147
1, 18, 31, 4.815, 2.226, 0.438, 0.331,   -0.106
2, 7, 47, 3.430, 8.102, 0.357, 0.250,   -0.106
1, 6, 35, 5.074, 0.780, 0.459, 0.341,   -0.119
1, 3, 26, 2.132, 10.920, 0.437, 0.351,   -0.086
1, 14, 34, 1.496, 1.787, 0.380, 0.278,   -0.102
2, 5, 28, 1.822, 5.524, 0.266, 0.229,   -0.038
2, 17, 32, 2.032, 2.106, 0.206, 0.146,   -0.060
1, 22, 48, 2.688, 2.769, 0.478, 0.303,   -0.175
2, 2, 32, 3.356, 1.383, 0.316, 0.211,   -0.105
1, 27, 31, 4.430, 2.179, 0.421, 0.313,   -0.108
1, 18, 46, 2.790, 4.832, 0.443, 0.289,   -0.154
1, 14, 42, 2.073, 3.719, 0.442, 0.297,   -0.144
2, 22, 46, 2.315, 2.414, 0.292, 0.154,   -0.138
2, 3, 40, 5.132, 9.886, 0.324, 0.240,   -0.083
1, 39, 44, 3.932, 1.894, 0.430, 0.260,   -0.169
1, 21, 36, 4.171, 2.716, 0.416, 0.328,   -0.088
1, 28, 48, 3.212, 2.768, 0.502, 0.274,   -0.228
1, 36, 44, 1.349, 2.396, 0.573, 0.083,   -0.490
1, 11, 40, 3.300, 6.137, 0.418, 0.311,   -0.106
2, 31, 42, 2.943, 2.655, 0.403, 0.158,   -0.244
1, 21, 39, 4.368, 3.682, 0.426, 0.315,   -0.111
1, 24, 29, 5.304, 1.988, 0.440, 0.299,   -0.141
1, 35, 40, 2.682, 1.433, 0.423, 0.223,   -0.200
1, 18, 20, 4.946, 1.641, 0.443, 0.324,   -0.119
2, 23, 39, 1.531, 2.757, 0.290, 0.112,   -0.178
2, 33, 45, 4.616, 2.246, 0.330, 0.217,   -0.113
2, 35, 42, 4.749, 2.193, 0.306, 0.197,   -0.109
2, 26, 31, 3.058, 0.894, 0.316, 0.229,   -0.087
2, 21, 28, 5.584, 2.169, 0.364, 0.248,   -0.116
2, 29, 40, 2.826, 1.461, 0.318, 0.156,   -0.162
1, 35, 43, 1.834, 1.094, 0.481, 0.169,   -0.313
1, 35, 46, 1.166, 1.963, 0.575, 0.075,   -0.500
1, 35, 46, 2.950, 2.424, 0.485, 0.244,   -0.242
1, 34, 40, 2.933, 0.724, 0.434, 0.233,   -0.201
2, 41, 44, 5.799, 0.976, 0.416, 0.125,   -0.290
1, 41, 45, 1.347, 1.911, 0.595, 0.062,   -0.533
1, 36, 39, 5.750, 1.449, 0.454, 0.253,   -0.201
1, 29, 40, 4.774, 1.306, 0.428, 0.237,   -0.191
2, 26, 29, 4.563, 1.281, 0.368, 0.231,   -0.137
2, 34, 41, 4.782, 1.800, 0.376, 0.258,   -0.118
2, 18, 28, 3.809, 1.939, 0.381, 0.276,   -0.105
2, 35, 38, 5.863, 1.004, 0.385, 0.186,   -0.199
2, 41, 46, 3.601, 1.105, 0.333, 0.137,   -0.196
1, 36, 45, 2.592, 1.137, 0.380, 0.192,   -0.188
1, 2, 23, 2.658, 19.119, 0.426, 0.369,   -0.057
1, 33, 38, 4.238, 0.717, 0.436, 0.253,   -0.183
2, 28, 44, 4.926, 0.815, 0.386, 0.230,   -0.156
2, 25, 41, 1.927, 2.762, 0.303, 0.127,   -0.176
2, 25, 48, 4.881, 1.576, 0.379, 0.258,   -0.120
2, 17, 30, 5.246, 2.001, 0.371, 0.255,   -0.116
2, 22, 30, 1.383, 2.418, 0.323, 0.095,   -0.228
1, 38, 43, 3.260, 0.938, 0.450, 0.163,   -0.287
2, 38, 47, 5.761, 2.387, 0.345, 0.208,   -0.137
2, 26, 42, 2.296, 1.025, 0.306, 0.174,   -0.132
1, 29, 34, 1.127, 2.167, 0.522, 0.081,   -0.441
